primary,synonyms,description,
AAMDC,C11orf67+AHw-CK067+AHw-PTD015+AHw-PTD015+AHw-FLJ21035+AHw-CK067+AHw-C11orf67+AHw-C11orf67,adipogenesis associated Mth938 domain containing,
AAMP,,,
AANAT,DSPS+AHw-SNAT+AHw-SNAT+AHw-SNAT,aralkylamine N+AC0-acetyltransferase,
AAR2,C20orf4+AHw-CGI+AC0-23+AHw-bA234K24.2+AHw-C20orf4+AHw-C20orf4,AAR2 splicing factor homolog,
AARD,C8orf85+AHw-LOC441376+AHw-C8orf85+AHw-C8orf85,alanine and arginine rich domain containing protein,
AARS,CMT2N+AHw-EIEE29+AHw-CMT2N+AHw-AlaRS,alanyl+AC0-tRNA synthetase,
AARS2,AARSL+AHw-COXPD8+AHw-LKENP+AHw-MT+AC0-ALARS+AHw-MTALARS+AHw-KIAA1270+AHw-bA444E17.1+AHw-AARSL+AHw-AARSL+AHw-KIAA1270,alanyl+AC0-tRNA synthetase 2+AHw- mitochondrial,
AARSD1,MGC2744,,
AARSP1,,,
AASDH,ACSF4+AHw-LYS2+AHw-NRPS1098+AHw-NRPS998+AHw-NRPS998+AHw-LYS2+AHw-ACSF4+AHw-ACSF4+AHw-U26,aminoadipate+AC0-semialdehyde dehydrogenase,
AASDHPPT,AASD+AC0-PPT+AHw-ACPS+AHw-CGI+AC0-80+AHw-LYS2+AHw-LYS5+AHw-LYS5+AHw-CGI+AC0-80+AHw-AASD+AC0-PPT+AHw-ACPS,aminoadipate+AC0-semialdehyde dehydrogenase+AC0-phosphopantetheinyl transferase,
AASS,LKR/SDH+AHw-LKRSDH+AHw-LORSDH+AHw-LORSDH+AHw-LKRSDH,aminoadipate+AC0-semialdehyde synthase,
AASTH1,,,
AASTH10,,,
AASTH11,,,
AASTH12,,,
AASTH13,,,
AASTH14,,,
AASTH15,,,
AASTH16,,,
AASTH17,,,
AASTH18,,,
AASTH19,,,
AASTH2,,,
AASTH20,,,
AASTH21,,,
AASTH22,,,
AASTH23,,,
AASTH24,,,
AASTH25,,,
AASTH26,,,
AASTH27,,,
AASTH28,,,
AASTH29,,,
AASTH3,,,
AASTH30,,,
AASTH31,,,
AASTH32,,,
AASTH33,,,
AASTH34,,,
AASTH35,,,
AASTH36,,,
AASTH37,,,
AASTH38,,,
AASTH39,,,
AASTH4,,,
AASTH40,,,
AASTH41,,,
AASTH42,,,
AASTH43,,,
AASTH44,,,
AASTH45,,,
AASTH46,,,
AASTH47,,,
AASTH48,,,
AASTH49,,,
AASTH5,,,
AASTH50,,,
AASTH51,,,
AASTH52,,,
AASTH53,,,
AASTH54,,,
AASTH55,,,
AASTH56,,,
AASTH6,,,
AASTH7,,,
AASTH8,,,
AASTH9,,,
AAT,,,
AAT1,FAA1,Aortic aneurysm+AHw- familial thoracic 1,
AAT2,FAA2,Aortic aneurysm+AHw- familial thoracic 2,
AATBC,,,
AATF,BFR2+AHw-CHE+AC0-1+AHw-CHE1+AHw-DED+AHw-DED+AHw-CHE+AC0-1+AHw-CHE1+AHw-BFR2+AHw-CHE1+AHw-DED,apoptosis antagonizing transcription factor,
AATK,AATYK+AHw-AATYK1+AHw-LMR1+AHw-LMTK1+AHw-PPP1R77+AHw-p35BP+AHw-AATYK+AHw-KIAA0641+AHw-LMTK1+AHw-LMR1+AHw-AATYK1+AHw-PPP1R77+AHw-AATYK+AHw-KIAA0641+AHw-LMR1+AHw-LMTK1,apoptosis associated tyrosine kinase,
AAVS1,AAV,adeno+AC0-associated virus integration site 1,
ABAD,,,
ABALON,INXS,apoptotic BCL2L1+AC0-antisense long non+AC0-coding RNA,
ABAT,GABA+AC0-AT+AHw-GABAT+AHw-NPD009+AHw-GABAT+AHw-GABAT,4+AC0-aminobutyrate aminotransferase,
ABC+AC0-1,,,
ABC+AC0-transporter,,,
ABC1,,,
ABC2,,,
ABCA1,ABC+AC0-1+AHw-ABC1+AHw-CERP+AHw-HDLDT1+AHw-TGD+AHw-TGD+AHw-ABC1+AHw-HDLDT1+AHw-ABC1+AHw-CERP,ATP binding cassette subfamily A member 1,
ABCA10,EST698739+AHw-EST698739,ATP binding cassette subfamily A member 10,
ABCA11P,ABCA11+AHw-EST1133530+AHw-ABCA11,ATP binding cassette subfamily A member 11+AHw- pseudogene,
ABCA12,ARCI4A+AHw-ARCI4B+AHw-ICR2B+AHw-LI2+AHw-DKFZP434G232+AHw-LI2+AHw-ICR2B+AHw-ABC12,ATP binding cassette subfamily A member 12,
ABCA13,FLJ33876+AHw-FLJ33951,,
ABCA17P,ABCA17,ATP binding cassette subfamily A member 17+AHw- pseudogene,
ABCA2,ABC2+AHw-ABC2+AHw-ABC2+AHw-KIAA1062,ATP binding cassette subfamily A member 2,
ABCA3,ABC+AC0-C+AHw-ABC3+AHw-EST111653+AHw-LBM180+AHw-SMDP3+AHw-ABC+AC0-C+AHw-EST111653+AHw-LBM180+AHw-ABC3+AHw-ABC3,ATP binding cassette subfamily A member 3,
ABCA3 variant protein,,,
ABCA4,ABC10+AHw-ABCR+AHw-ARMD2+AHw-CORD3+AHw-FFM+AHw-RMP+AHw-RP19+AHw-STGD+AHw-STGD1+AHw-FFM+AHw-ARMD2+AHw-CORD3+AHw-STGD1+AHw-ABCR+AHw-RP19+AHw-STGD+AHw-ABCR,ATP binding cassette subfamily A member 4,
ABCA5,ABC13+AHw-EST90625+AHw-EST90625+AHw-KIAA1888,ATP binding cassette subfamily A member 5,
ABCA6,EST155051+AHw-EST155051,ATP binding cassette subfamily A member 6,
ABCA7,ABCA+AC0-SSN+AHw-ABCX+AHw-AD9+AHw-ABCX,ATP binding cassette subfamily A member 7,
ABCA8,KIAA0822+AHw-KIAA0822,,
ABCA9,EST640918+AHw-EST640918,ATP binding cassette subfamily A member 9,
ABCA9+AC0-AS1,,,
ABCB1,ABC20+AHw-CD243+AHw-CLCS+AHw-GP170+AHw-MDR1+AHw-P+AC0-GP+AHw-PGY1+AHw-P+AC0-gp+AHw-CD243+AHw-GP170+AHw-ABC20+AHw-PGY1+AHw-MDR1+AHw-CLCS+AHw-MDR1+AHw-PGY1,ATP binding cassette subfamily B member 1,
ABCB10,EST20237+AHw-M+AC0-ABC2+AHw-MTABC2+AHw-EST20237+AHw-M+AC0-ABC2+AHw-MTABC2,ATP binding cassette subfamily B member 10,
ABCB10P1,ABCB10P+AHw-ABCB10P2+AHw-M+AC0-ABC2+AHw-MABC2,ABCB10 pseudogene 1,
ABCB10P3,,,
ABCB10P4,,,
ABCB11,ABC16+AHw-BRIC2+AHw-BSEP+AHw-PFIC+AC0-2+AHw-PFIC2+AHw-PGY4+AHw-SPGP+AHw-ABC16+AHw-SPGP+AHw-PFIC+AC0-2+AHw-PGY4+AHw-BSEP+AHw-PFIC2+AHw-BSEP,ATP binding cassette subfamily B member 11,
ABCB3,,,
ABCB4,ABC21+AHw-GBD1+AHw-ICP3+AHw-MDR2+AHw-MDR2/3+AHw-MDR3+AHw-PFIC+AC0-3+AHw-PGY3+AHw-MDR2+AHw-PFIC+AC0-3+AHw-GBD1+AHw-PGY3+AHw-MDR3+AHw-MDR3+AHw-PGY3,ATP binding cassette subfamily B member 4,
ABCB5,ABCB5alpha+AHw-ABCB5beta+AHw-EST422562+AHw-EST422562+AHw-ABCB5beta+AHw-ABCB5alpha,ATP binding cassette subfamily B member 5,
ABCB6,ABC+AHw-LAN+AHw-MTABC3+AHw-PRP+AHw-umat+AHw-EST45597+AHw-umat+AHw-MTABC3+AHw-MTABC3+AHw-PRP+AHw-UMAT,ATP binding cassette subfamily B member 6 (Langereis blood group),
ABCB7,ABC7+AHw-ASAT+AHw-Atm1p+AHw-EST140535+AHw-EST140535+AHw-Atm1p+AHw-ASAT+AHw-ABC7+AHw-ABC7,ATP binding cassette subfamily B member 7,
ABCB8,EST328128+AHw-M+AC0-ABC1+AHw-MABC1+AHw-EST328128+AHw-M+AC0-ABC1+AHw-MABC1+AHw-MABC1,ATP binding cassette subfamily B member 8,
ABCB9,EST122234+AHw-TAPL+AHw-EST122234+AHw-KIAA1520,ATP binding cassette subfamily B member 9,
ABCC1,ABC29+AHw-ABCC+AHw-GS+AC0-X+AHw-MRP+AHw-MRP1+AHw-GS+AC0-X+AHw-MRP+AHw-MRP1+AHw-MRP+AHw-MRP1,ATP binding cassette subfamily C member 1,
ABCC10,EST182763+AHw-MRP7+AHw-SIMRP7+AHw-EST182763+AHw-MRP7+AHw-SIMRP7+AHw-MRP7+AHw-SIMRP7,ATP binding cassette subfamily C member 10,
ABCC11,EWWD+AHw-MRP8+AHw-WW+AHw-MRP8+AHw-MRP8,ATP binding cassette subfamily C member 11,
ABCC12,MRP9+AHw-MRP9+AHw-MRP9,ATP binding cassette subfamily C member 12,
ABCC13,ABCC13P+AHw-C21orf73+AHw-PRED6+AHw-C21orf73+AHw-PRED6,ATP binding cassette subfamily C member 13 (pseudogene),
ABCC2,ABC30+AHw-CMOAT+AHw-DJS+AHw-MRP2+AHw-cMRP+AHw-DJS+AHw-MRP2+AHw-cMRP+AHw-CMOAT+AHw-CMOAT+AHw-CMOAT1+AHw-CMRP+AHw-MRP2,ATP binding cassette subfamily C member 2,
ABCC3,ABC31+AHw-EST90757+AHw-MLP2+AHw-MOAT+AC0-D+AHw-MRP3+AHw-cMOAT2+AHw-MRP3+AHw-cMOAT2+AHw-EST90757+AHw-MLP2+AHw-MOAT+AC0-D+AHw-CMOAT2+AHw-MLP2+AHw-MRP3,ATP binding cassette subfamily C member 3,
ABCC4,MOAT+AC0-B+AHw-MOATB+AHw-MRP4+AHw-MRP4+AHw-EST170205+AHw-MOAT+AC0-B+AHw-MOATB+AHw-MRP4,ATP binding cassette subfamily C member 4,
ABCC5,ABC33+AHw-EST277145+AHw-MOAT+AC0-C+AHw-MOATC+AHw-MRP5+AHw-SMRP+AHw-pABC11+AHw-MRP5+AHw-SMRP+AHw-EST277145+AHw-MOAT+AC0-C+AHw-MRP5,ATP binding cassette subfamily C member 5,
ABCC5+AC0-AS1,,,
ABCC6,ABC34+AHw-ARA+AHw-EST349056+AHw-GACI2+AHw-MLP1+AHw-MOAT+AC0-E+AHw-MOATE+AHw-MRP6+AHw-PXE+AHw-PXE1+AHw-URG7+AHw-MRP6+AHw-EST349056+AHw-MLP1+AHw-URG7+AHw-ARA+AHw-PXE+AHw-ARA+AHw-MRP6,ATP binding cassette subfamily C member 6,
ABCC6P1,,,
ABCC6P2,,,
ABCC8,ABC36+AHw-HHF1+AHw-HI+AHw-HRINS+AHw-MRP8+AHw-PHHI+AHw-SUR+AHw-SUR1+AHw-SUR1delta2+AHw-TNDM2+AHw-HI+AHw-PHHI+AHw-SUR1+AHw-MRP8+AHw-ABC36+AHw-HHF1+AHw-TNDM2+AHw-SUR+AHw-HRINS+AHw-HRINS+AHw-SUR+AHw-SUR1,ATP binding cassette subfamily C member 8,
ABCC9,ABC37+AHw-ATFB12+AHw-CANTU+AHw-CMD1O+AHw-SUR2+AHw-SUR2+AHw-CMD1O+AHw-SUR2,ATP binding cassette subfamily C member 9,
ABCD1,ABC42+AHw-ALD+AHw-ALDP+AHw-AMN+AHw-AMN+AHw-ALDP+AHw-adrenoleukodystrophy+AHw-ALD+AHw-ALD,ATP binding cassette subfamily D member 1,
ABCD1P1,,,
ABCD1P2,bA453N3.6,ATP binding cassette subfamily D member 1 pseudogene 2,
ABCD1P3,,,
ABCD1P4,ALD22Q11,ATP binding cassette subfamily D member 1 pseudogene 4,
ABCD1P5,,,
ABCD2,ABC39+AHw-ALDL1+AHw-ALDR+AHw-ALDRP+AHw-hALDR+AHw-ALDR+AHw-ALDRP+AHw-ALDL1+AHw-ALD1+AHw-ALDL1+AHw-ALDR+AHw-ALDRP,ATP binding cassette subfamily D member 2,
ABCD3,ABC43+AHw-CBAS5+AHw-PMP70+AHw-PXMP1+AHw-ZWS2+AHw-PMP70+AHw-ZWS2+AHw-PXMP1+AHw-PMP70+AHw-PXMP1,ATP binding cassette subfamily D member 3,
ABCD4,ABC41+AHw-EST352188+AHw-MAHCJ+AHw-P70R+AHw-P79R+AHw-PMP69+AHw-PXMP1L+AHw-PMP69+AHw-P70R+AHw-EST352188+AHw-PXMP1L+AHw-PXMP1L,ATP binding cassette subfamily D member 4,
ABCE1,ABC38+AHw-OABP+AHw-RLI+AHw-RLI1+AHw-RNASEL1+AHw-RNASELI+AHw-RNS4I+AHw-RLI+AHw-OABP+AHw-RLI1+AHw-RNASEL1+AHw-RNASELI+AHw-RNS4I+AHw-RLI+AHw-RNASEL1+AHw-RNASELI+AHw-RNS4I,ATP binding cassette subfamily E member 1,
ABCF1,ABC27+AHw-ABC50+AHw-EST123147+AHw-ABC50+AHw-ABC50,ATP binding cassette subfamily F member 1,
ABCF1+AC0-DT,,,
ABCF2,ABC28+AHw-EST133090+AHw-HUSSY+AC0-18+AHw-HUSSY18+AHw-EST133090+AHw-ABC28+AHw-M+AC0-ABC1+AHw-HUSSY+AC0-18,ATP binding cassette subfamily F member 2,
ABCF2P1,,,
ABCF2P2,,,
ABCF3,EST201864+AHw-EST201864,ATP binding cassette subfamily F member 3,
ABCG1,ABC8+AHw-WHITE1+AHw-ABC8+AHw-ABC8+AHw-WHT1,ATP binding cassette subfamily G member 1,
ABCG2,ABC15+AHw-ABCP+AHw-BCRP+AHw-BCRP1+AHw-BMDP+AHw-CD338+AHw-CDw338+AHw-EST157481+AHw-GOUT1+AHw-MRX+AHw-MXR+AHw-MXR+AC0-1+AHw-MXR1+AHw-UAQTL1+AHw-EST157481+AHw-MXR+AHw-BCRP+AHw-ABCP+AHw-CD338+AHw-ABCP+AHw-BCRP+AHw-BCRP1+AHw-MXR,ATP binding cassette subfamily G member 2 (Junior blood group),
ABCG4,WHITE2+AHw-WHITE2+AHw-WHITE2,ATP binding cassette subfamily G member 4,
ABCG5,STSL+AHw-STSL,ATP binding cassette subfamily G member 5,
ABCG8,GBD4+AHw-STSL+AHw-GBD4,ATP binding cassette subfamily G member 8,
ABCR,,,
ABHD1,LABH1+AHw-LABH1+AHw-FLJ36128+AHw-LABH1,abhydrolase domain containing 1,
ABHD10,FLJ11342,,
ABHD11,PP1226+AHw-WBSCR21+AHw-PP1226+AHw-WBSCR21+AHw-WBSCR21,abhydrolase domain containing 11,
ABHD11+AC0-AS1,LINC00035+AHw-NCRNA00035+AHw-WBSCR26,ABHD11 antisense RNA 1 (tail to tail),
ABHD12,ABHD12A+AHw-BEM46L2+AHw-C20orf22+AHw-PHARC+AHw-dJ965G21.2+AHw-DKFZP434P106+AHw-dJ965G21.2+AHw-BEM46L2+AHw-ABHD12A+AHw-C20orf22+AHw-C20orf22,abhydrolase domain containing 12,
ABHD12B,BEM46L3+AHw-C14orf29+AHw-c14+AF8-5314+AHw-BEM46L3+AHw-C14orf29+AHw-C14orf29,abhydrolase domain containing 12B,
ABHD13,BEM46L1+AHw-C13orf6+AHw-bA153I24.2+AHw-bA153I24.2+AHw-FLJ14906+AHw-BEM46L1+AHw-C13orf6+AHw-C13orf6,abhydrolase domain containing 13,
ABHD14A,DORZ1+AHw-DKFZP564O243+AHw-DORZ1,abhydrolase domain containing 14A,
ABHD14A+AC0-ACY1,,,
ABHD14B,CIB+AHw-HEL+AC0-S+AC0-299+AHw-MGC15429+AHw-CIB+AHw-CIB,abhydrolase domain containing 14B,
ABHD15,,,
ABHD15+AC0-AS1,linc+AC0-TP53I13+AHw-lnc+AC0-TP53I13,ABHD15 antisense RNA 1,
ABHD16A,BAT5+AHw-D6S82E+AHw-NG26+AHw-PP199+AHw-NG26+AHw-D6S82E+AHw-BAT5+AHw-BAT5+AHw-G5+AHw-NG26,abhydrolase domain containing 16A,
ABHD16B,C20orf135+AHw-dJ591C20.1+AHw-dJ591C20.1+AHw-C20orf135+AHw-C20orf135,abhydrolase domain containing 16B,
ABHD17A,C19orf27+AHw-FAM108A1+AHw-MGC5244+AHw-C19orf27+AHw-FAM108A1+AHw-C19orf27+AHw-FAM108A1,abhydrolase domain containing 17A,
ABHD17AP1,ABHD17AP2+AHw-C1orf47+AHw-FAM108A11P+AHw-FAM108A2+AHw-FAM108A3+AHw-FAM108A3P,abhydrolase domain containing 17A pseudogene 1,
ABHD17AP3,FAM108A4+AHw-FAM108A4P,abhydrolase domain containing 17A pseudogene 3,
ABHD17AP4,FAM108A5+AHw-FAM108A5P,abhydrolase domain containing 17A pseudogene P4,
ABHD17AP5,FAM108A6+AHw-FAM108A6P,abhydrolase domain containing 17A pseudogene 5,
ABHD17AP6,FAM108A7P,abhydrolase domain containing 17A pseudogene 6,
ABHD17AP7,FAM108A8P,abhydrolase domain containing 17A pseudogene 7,
ABHD17AP8,FAM108A9P,abhydrolase domain containing 17A pseudogene 8,
ABHD17AP9,FAM108A10P,abhydrolase domain containing 17A pseudogene 9,
ABHD17B,C9orf77+AHw-CGI+AC0-67+AHw-FAM108B1+AHw-CGI+AC0-67+AHw-C9orf77+AHw-FAM108B1+AHw-C9orf77+AHw-FAM108B1,abhydrolase domain containing 17B,
ABHD17C,FAM108C1+AHw-FAM108C1+AHw-FAM108C1,abhydrolase domain containing 17C,
ABHD18,C4orf29+AHw-FLJ21106+AHw-C4orf29+AHw-C4orf29,abhydrolase domain containing 18,
ABHD2,HS1+AC0-2+AHw-LABH2+AHw-PHPS1+AC0-2+AHw-LABH2+AHw-LABH2,abhydrolase domain containing 2,
ABHD3,LABH3+AHw-LABH3,abhydrolase domain containing 3,
ABHD4,ABH4+AHw-FLJ12816,abhydrolase domain containing 4,
ABHD5,CGI58+AHw-IECN2+AHw-NCIE2+AHw-CGI+AC0-58+AHw-NCIE2+AHw-NCIE2,abhydrolase domain containing 5,
ABHD6,,,
ABHD8,FLJ11743+AHw-MGC14280+AHw-MGC2512,,
ABHD9,,,
ABI+AC0-2,,,
ABI1,ABI+AC0-1+AHw-ABLBP4+AHw-E3B1+AHw-NAP1BP+AHw-SSH3BP+AHw-SSH3BP1+AHw-E3B1+AHw-ABI+AC0-1+AHw-SSH3BP1+AHw-SSH3BP1,abl interactor 1,
ABI1P1,ABI1P+AHw-SSH3BP1P,abl interactor 1 pseudogene 1,
ABI2,ABI+AC0-2+AHw-ABI2B+AHw-AIP+AC0-1+AHw-AblBP3+AHw-SSH3BP2+AHw-argBP1+AHw-argBPIA+AHw-argBPIB+AHw-ABI+AC0-2+AHw-AIP+AC0-1+AHw-ABI2B+AHw-AblBP3+AHw-argBPIA+AHw-SSH3BP2+AHw-ARGBPIA,abl interactor 2,
ABI3,NESH+AHw-SSH3BP3+AHw-NESH+AHw-SSH3BP3+AHw-NESH,ABI family member 3,
ABI3BP,NESHBP+AHw-TARSH+AHw-NESHBP+AHw-DKFZP586L2024+AHw-TARSH+AHw-NESHBP+AHw-TARSH,ABI family member 3 binding protein,
ABL1,ABL+AHw-CHDSKM+AHw-JTK7+AHw-bcr/abl+AHw-c+AC0-ABL+AHw-c+AC0-ABL1+AHw-p150+AHw-v+AC0-abl+AHw-JTK7+AHw-c+AC0-ABL+AHw-p150+AHw-ABL+AHw-ABL+AHw-JTK7,ABL proto+AC0-oncogene 1+AHw- non+AC0-receptor tyrosine kinase,
ABL2,ABLL+AHw-ARG+AHw-ARG+AHw-ABLL+AHw-ABLL+AHw-ARG,ABL proto+AC0-oncogene 2+AHw- non+AC0-receptor tyrosine kinase,
ABLIM1,ABLIM+AHw-LIMAB1+AHw-LIMATIN+AHw-abLIM+AC0-1+AHw-abLIM+AHw-limatin+AHw-LIMAB1+AHw-ABLIM+AHw-ABLIM+AHw-KIAA0059+AHw-LIMAB1,actin binding LIM protein 1,
ABLIM2,KIAA1808+AHw-KIAA1808,,
ABLIM3,HMFN1661+AHw-KIAA0843+AHw-KIAA0843,actin binding LIM protein family member 3,
ABO,A3GALNT+AHw-A3GALT1+AHw-GTB+AHw-NAGAT+AHw-A3GALNT+AHw-A3GALT1,ABO+AHw- alpha 1+AC0-3+AC0-N+AC0-acetylgalactosaminyltransferase and alpha 1+AC0-3+AC0-galactosyltransferase,
ABO+AC0-B,,,
ABP1,,,
ABR,MDB+AHw-MDB,ABR+AHw- RhoGEF and GTPase activating protein,
ABRA,STARS+AHw-STARS,actin binding Rho activating protein,
ABRACL,C6orf115+AHw-Costars+AHw-HSPC280+AHw-PRO2013+AHw-PRO2013+AHw-HSPC280+AHw-Costars+AHw-C6orf115+AHw-C6orf115,ABRA C+AC0-terminal like,
ABRAXAS1,ABRA1+AHw-CCDC98+AHw-FAM175A+AHw-FLJ13614+AHw-ABRA1+AHw-ABRAXAS+AHw-CCDC98+AHw-FAM175A+AHw-ABRA1+AHw-CCDC98+AHw-FAM175A,abraxas 1+AHw- BRCA1 A complex subunit,
ABRAXAS2,ABRO1+AHw-FAM175B+AHw-KIAA0157+AHw-Em:AC068896.4+AHw-ABRO1+AHw-KIAA0157+AHw-FAM175B+AHw-ABRO1+AHw-FAM175B+AHw-KIAA0157,abraxas 2+AHw- BRISC complex subunit,
ABT1,Esf2+AHw-hABT1+AHw-Esf2,activator of basal transcription 1,
ABT1P1,,,
ABTB1,BPOZ+AHw-BTB3+AHw-BTBD21+AHw-EF1ABP+AHw-PP2259+AHw-BPOZ+AHw-EF1ABP+AHw-Btb3+AHw-BTBD21+AHw-BPOZ,ankyrin repeat and BTB domain containing 1,
ABTB2,ABTB2A+AHw-BTBD22+AHw-DKFZP586C1619+AHw-BTBD22+AHw-ABTB2A,ankyrin repeat and BTB domain containing 2,
ACAA1,ACAA+AHw-PTHIO+AHw-THIO+AHw-ACAA+AHw-PTHIO,acetyl+AC0-CoA acyltransferase 1,
ACAA2,DSAEC+AHw-DSAEC,acetyl+AC0-CoA acyltransferase 2,
ACACA,ACAC+AHw-ACACAD+AHw-ACC+AHw-ACC1+AHw-ACCA+AHw-ACC1+AHw-ACAC+AHw-ACC+AHw-ACAC+AHw-ACC1+AHw-ACCA,acetyl+AC0-CoA carboxylase alpha,
ACACB,ACC2+AHw-ACCB+AHw-HACC275+AHw-HACC275+AHw-ACC2+AHw-ACCB+AHw-ACC2+AHw-ACCB,acetyl+AC0-CoA carboxylase beta,
ACAD10,MGC5601,,
ACAD11,ACAD+AC0-11+AHw-FLJ12592,acyl+AC0-CoA dehydrogenase family member 11,
ACAD8,ACAD+AC0-8+AHw-ARC42+AHw-ARC42+AHw-IBD,acyl+AC0-CoA dehydrogenase family member 8,
ACAD9,NPD002+AHw-NPD002+AHw-MGC14452,acyl+AC0-CoA dehydrogenase family member 9,
ACADL,ACAD4+AHw-LCAD+AHw-LCAD+AHw-ACAD4,acyl+AC0-CoA dehydrogenase long chain,
ACADM,ACAD1+AHw-MCAD+AHw-MCADH+AHw-MCAD+AHw-MCADH+AHw-ACAD1,acyl+AC0-CoA dehydrogenase medium chain,
ACADS,ACAD3+AHw-SCAD+AHw-SCAD+AHw-ACAD3,acyl+AC0-CoA dehydrogenase short chain,
ACADSB,2+AC0-MEBCAD+AHw-ACAD7+AHw-SBCAD+AHw-SBCAD+AHw-ACAD7,acyl+AC0-CoA dehydrogenase short/branched chain,
