	symbol	associated_ids
407	LOC105376411	105376411
408	RNU6ATAC9P	106479547
409	XBR	5978
410	SH3PX1	51429
411	LOC107987024	107987024
412	CARLO7	100270680
413	SLSN5	9657
414	PKD1P5-LOC105376752	110006322
415	hsa-mir-548az	102466162
416	EAT	4170
417	IDDM17	8691
418	mir-320a	407037
419	LIV-1	25800
420	B2AR	154
421	CCDC76	54482
422	HMGN2P15	100288165
423	HLA-6.2	3133
424	PRR5-ARHGAP8	553158
425	LOC105378626	105378626
426	LOC110121486	110121486
427	CAPZA2	830
428	LOC108281182	108281182
429	HFE2	148738
430	LOC283710	283710
431	APEX1	328
432	TRY-GTA12-1	100189496
433	MONDOA	22877
434	MRPL51P1	351773
435	RJD9	84572
436	LOC105378526	105378526
437	RPL26_5_125	730070
438	DFNB102	2059|53405
439	PRSS50	29122
440	GOB5	1179
441	hsa-mir-548h-4	100313884
442	FABP8	5375
443	PheHB	10056
444	IMD46	7037
445	CCDC168	643677
446	LOC100419668	100419668
447	ASAM	79827
448	HSPA8P14	642580
449	VATF	9296
450	ANKL1	136991
451	MILR1	284021
452	LOC107986856	107986856
453	CMT2M	1785
454	MC3DN8	90624
455	EFNA3	1944
456	PAPPA-AS1	493913
457	LOC110121498	110121498
458	DNM1DN11-3	100216518
459	RPL12_10_1101	100271404
460	TRK-CTT6-1	100188995
461	HG152	26740
462	NCRNA00343	144920
463	H2A/d	8330
464	BEGAIN	57596
465	LOC107984618	107984618
466	P120CAS	1500
467	LOC105375905	105375905
468	hsa-mir-6733	102465439
469	LOC105377850	105377850
470	RL	5649
471	IGLV3-6	28806
472	KIAA1277	27147
473	HESRG	790952
474	LOC112267998	112267998
475	MIR380	494329
476	SIK1B	102724428
477	BSN1	646
478	MCOP3	30062
479	GCSP	2731
480	TIM16	51025
481	RPML27	64975
482	TCRBV5S5	28610
483	ERp90	57544
484	TCF11	4779
485	TRPC6P	644218
486	ABCC5-AS1	100873982
487	BW33	474304
488	LSAMP	4045
489	MAPKK3	5606
490	hnRNP-E2	5094
491	TMCO4	255104
492	CPT1B	1375
493	RPL19	6143
494	TRNAV21	100189227
495	LOC100129316	100129316
496	hsa-mir-6506	102465252
497	CRCS6	100187710
498	LOC107987039	107987039
499	XLHED	1896
500	LOC107984330	107984330
501	V1-17	28822
502	LINC02020	107986164
503	MOLT	121256
504	MPGES	9536
505	imBRI2	9445
506	DBA14	90121
507	dJ90G24.5	129099
508	c-myb	4602
509	PRELID1P4	390572
510	MIR4255	100422898
511	5HTT	6532
512	PEMT2	10400
513	MKRN9	400058
514	MIRN107	406901
515	SRK	6199|7535
516	BRK-3	659
517	ROR1-AS1	101927034
518	VTCN1	79679
519	HsT17432	4091
520	ZNF486	90649
521	LOC106050103	106050103
522	CRISTIN2	340419
523	RTE1	404685
524	U7.38	100147825
525	TRNAA38	100189395
526	OR14-34	390439
527	NME6	10201
528	LOC101060035	101060035
529	LOC101929528	101929528
530	NEFHL	339396
531	SNORD31	9298
532	MAGE-3b	4105
533	LINC01939	101060385
534	LOC105372606	105372606
535	ZNF101P2	730190
536	RPL27P11	442723
537	LINC02089	105371831
538	MIRN873	100126316
539	C21orf129	150135
540	RBMY2MP	140101
541	PP1665	81544
542	LOC105371843	105371843
543	PPP1R54	55259
544	D2H	6519
545	SH3GLP3	727736
546	LOC112577480	112577480
547	FKBP9P1	360132
548	LOC105378988	105378988
549	DNAJC19P4	106480691
550	RUSC1	23623
551	LMX1B	4010
552	MIR5010	100847046
553	MIR6079	102464830
554	LOC111982891	111982891
555	SITAC	27111
556	SDR9C3	3291
557	OR10Q1	219960
558	TRG-CCC7-1	100189458
559	HOMS1	9092
560	CMD1EE	4624
561	HNRPE1	5093
562	PW1	5178
563	61E3.4	23049|440345
564	OR1-23	81442
565	LOC105372668	105372668
566	CDY2	9426
567	OR2A2	442361
568	RPL36A_3_200	100271323
569	HDAC11-AS1	100874101
570	FBXO43	286151
571	PSMB7P1	100422289
572	MIRN1267	100302286
573	LOC105378307	105378307
574	PAQR4	124222
575	RFVT3	113278
576	bPG70P20.2	414771
577	KRT18P44	139748
578	MRPL57P9	359733
579	BMFS3	134218
580	RNU6-1226P	106480102
581	GASL1	401472
582	hsa-mir-6089-1	102464837
583	MACST	100529231
584	LGR3	7253
585	SNX25P1	100419028
586	LOC110485084	110485084
587	4F5REL	10169
588	hCPEB-4	80315
589	MIR103-2AS	100302282
590	ZNF683	257101
591	MIR142	406934
592	LOC105374761	105374761
593	mPGES-1	9536
594	IMP13	9670
595	SNORD32B	692092
596	LOC105377814	105377814
597	RBED1	84173
598	C14orf17	414763
599	GTF2H2B	653238
600	IL-2RG	3561
601	NEDMHM	9181
602	HEL-S-116	10551
603	HACS2	54440
604	LOC101929316	101929316
605	MTCYBP34	109729115
606	MRNIP	51149
607	LOC107984950	107984950
608	PYHIN4	9447
609	DEL15Q24	100502567
610	HSPC141	29085
611	LOC101927056	101927056
612	IL-36R	8808
613	ARGM1	283999
614	GTF2IP14	106481735
615	RNU3P4	26842
616	dNT2	56953
617	GOLGA7A	51125
618	TSG24	64682
619	TSEN54	283989
620	HSPA9P	266724
621	AGS4	10535|63940
622	LINC01724	105371673
623	LOC112268102	112268102
624	LOC100421536	100421536
625	PHACTR2	9749
626	IFNA12P	158011
627	IGHV2-5	28457
628	MYMX	101929726
629	STX13	23673
630	MST107	80335
631	SNORD45A	26805
632	OR1-17	81448
633	IPS-1	51477|57506
634	ARF2	378
635	LOC100506023	100506023
636	SYN-1	9623
637	ETL3	100188848
638	DESC1	28983
639	IP6K2	51447
640	RPS24_4_1115	100128423
641	LINC01578	100507217
642	TRNAK28	100189311
643	PPLA2	5319
644	TTC1	7265
645	MHC-G	3135
646	VMA4	90423
647	CALHM2	51063
648	ANHU	183
649	MIR4770	100616373
650	TLE6	79816
651	TCA3	6346
652	OR2L14	284521
653	MIRN548G	100313938
654	TRY7	207148
655	RN7SL274P	106479322
656	LOC105373038	105373038
657	LOC643072	643072
658	CP25	3223
659	GNAS-AS1	149775
660	ZFY-AS	107987337
661	ZCCHC6	79670
662	RNU6-412P	106481308
663	ATN	7299
664	RND2	8153
665	SCA46	23646
666	C2CD5	9847
667	LAK-4P	11322
668	LOC106783502	106783502
669	ARMC4	55130
670	LAC	3938
671	FAM96B	51647
672	TRDN-AS1	101927990
673	LOC105374524	105374524
674	OR11-134	81309
675	KUB1	1191
676	DSCP1	90313
677	MIR100HG	399959
678	UBE2Q2P12	100421768
679	MTCO1P29	107075225
680	LOC105369589	105369589
681	RPL32P16	646104
682	ARL14EPL	644100
683	HNRPH'	3188
684	PPIAP18	729673
685	APO-L	8542
686	hSK1	3780
687	MEI5	119392
688	RNF6	6049
689	LOC105371630	105371630
690	HIST2H2AC	8338
691	CDC18L	990
692	LINC02476	105375475
693	FTHL24	100462797
694	RPL34_17_1547	100271505
695	DYNC2H1	79659
696	RNA5SP459	100873703
697	ACEH	59272
698	TCEAL4P1	100874432
699	SEF-2	6925
700	XEDAR	60401
701	RPS15A_13_1746	100271651
702	RAPL	83593
703	CABS1	85438
704	FOXO1B	2311
705	KKIALRE	8814
706	MART5	340526
707	LOC112268177	112268177
708	MRG15	10933
709	NY-REN-2	51441|400209
710	SETP1	100133314
711	FABP5L13	106480712
712	SP56	8991
713	RPL17_9_1049	100271284
714	OAT	4942
715	RPL31_36_1782	100271392
716	LT-BETA-R	4055
717	PTK2	5747
718	RPL22P5	100132479
719	5-HT7	3363
720	ADIPQTL4	100271698
721	LRRC64	344657
722	PHE1B	5162
723	RAP2IP	10900
724	CRSP7	9441
725	DUP3Q29	100188862
726	C20orf7	79133
727	ACTRII	92
728	LLC1	128602
729	LOC107987097	107987097
730	LOC102724750	102724750
731	HSP90BB	391634
732	SMAD5AS	9597
733	RPL35A_3_191	100271312
734	VMA13	51606
735	HAT1	8520
736	RPL34_15_1639	342994
737	PAN3-AS1	100288730
738	PBD6B	5192
739	LOC105379749	105379749
740	LOC107984212	107984212
741	RPS2_20_1415	92427
742	OR7E122P	81428
743	PN5	11280
744	AIPL1	23746
745	SMG1P6	100422558
746	EMC8	10328
747	LOXL	4016|84695
748	PSIP1P	353329
749	IK1	3783|10320
750	ATP6V0E1	8992
751	PASK	23178|27347
752	NOL5A	10528
753	DFNB18	10083
754	LOC102723914	102723914
755	TSSK6	83983
756	HIGM4	7374
757	RNU6-544P	106481353
758	LOC105374723	105374723
759	RNU6-1160P	106481546
760	IPOA8	402569
761	LOC108720145	108720145
762	SH3D20	201176
763	bA149I23.6	439996
764	KRT127P	100418779
765	BCL2L2-PABPN1	100529063
766	BLP1	83877
767	LOC107984372	107984372
768	LOC108004548	108004548
769	PAF65B	27097
770	Kv11.3	90134
771	APECED	326
772	dJ545K15.2	51566
773	MIR1972-1	100302243
774	IMUP-2	64073
775	D2HGA2	3418
776	RPL41P7	286570
777	FAM130A2	80034
778	GPR169	386746
779	CGI-96	27341
780	A28-RGS14P	6004
781	CH17-118O6.2	728855
782	MSL3L1	10943
783	CX40.1	219770
784	LOC107985802	107985802
785	MAJN	9220|399687
786	RPSAP34	100270876
787	CALML5	51806
788	ELK2	2003|23416
789	PMX2B	8929
790	IGHVII301	28371
791	LOC107984869	107984869
792	RNU6-244P	106866981
793	LOC112163605	112163605
794	HEL-S-15	1072
795	LOC105373636	105373636
796	ZFYVE10	8897
797	p122-RhoGAP	10395
798	OR4H2P	26322
799	MRX53	4416
800	HMMR-AS1	101927813
801	PRO3094	55585
802	LOC100132599	100132599
803	ECTOL1	2200
804	CD290	81793
805	BRAG	51363
806	FLJ40194	124871
807	MSTP038	55114
808	RPS4XP22	100131614
809	TYS	7303
810	CISD2	493856
811	LOC100130256	100130256
812	LOC110120801	110120801
813	SEPSECS-AS1	285540
814	GALGT2	124872
815	RNU6-1108P	107105259
816	HBII-52-37	100033811
817	LMO4	8048|8543
818	CD321	50848
819	MIR1302-9	100422831
820	RBK2	3737
821	RNA5SP120	100873390
822	SEC61A2	55176
823	LOC105377668	105377668
824	SEMG2	6407
825	PCT	796|7389
826	RPS6_8_1176	100128923
827	LOC112268181	112268181
828	LPCAT2	54947
829	DISC1FP1	101929222
830	LOC101929560	101929560
831	RNU6-803P	106481434
832	SMT3H1	6612
833	GPX5p	257202
834	XPE-BF	1642
835	PUMET	1787
836	NOLA2P1	414200
837	SUN4	6676
838	HST422	7298
839	ETDC	110806299
840	LOC105376468	105376468
841	FE	2960|2961
842	ESAM	90952
843	TPBG	7162
844	ADORA2BP1	137
845	RNU7-38P	100147825
846	LOC105372703	105372703
847	GPRC1A	2911
848	bcm182	390354
849	SPG77	10667
850	SNX18P19	100419022
851	TYRO11	2050
852	LOC105371455	105371455
853	RNU6-547P	106481902
854	LOC100420002	100420002
855	GRAMD2B	65983
856	LOC100421611	100421611
857	RNU7-164P	106479086
858	GAPDHP66	645256
859	RPL15P22	100130624
860	ZC3H21	7310
861	RPL12_4_640	100270922
862	LEU7	27087
863	SHEP3	7299
864	FRG2B	441581
865	HNRNPA1P31	100506925
866	CAKB	2185
867	TKCR	7085
868	TRN-GTT16-1	100189069
869	IL-1RAPL-1	11141
870	RVP1	1365
871	PPP1R10	5514
872	HSD3BP1	391076
873	NFATC2IP	84901
874	WHSC2	7469
875	p82	8852
876	gIP-10	3627
877	HYDIN	54768
878	hAha1	10598
879	ASGD2	2301
880	LLGL3	134957
881	CUTL1	1523
882	RPL26_2_213	100270965
883	FOX2	23543
884	MIR4635	100616479
885	LASS1	10715
886	HPMRS3	27315
887	epsilon-COP	11316
888	BTN7	56244
889	FLU	51364
890	ADAM-TS7	11173
891	TRAV10	28676
892	LARGE-IT1	100874331
893	CCNF	899
894	IGKV3OR2-268	3523
895	DKFZP586H2123	25891
896	IPO9	55705
897	PVOP2	100312955
898	LOC110599575	110599575
899	RNU1-22P	100873863
900	CD131	1439
901	Dicer	23405
902	LOC203930	203930
903	HYPT7	200879
904	p90RSK6	27330
905	ANX8	653145
906	CDG1X	201595
907	CD33L3	284266
908	SPG29	619379|724107
909	RNVU1-15	101954267
910	TUSC1	286319
911	SUR	6833
912	C2orf82	389084
913	LOC105373311	105373311
914	LOC645139	645139
915	HADHAP	3031
916	LOC107986397	107986397
917	PPR3	25945|619471
918	COI	4512
919	HCA112	55365
920	OR19-25	284433
921	LOC727919	727919
922	COLLYBISTIN	23229
923	OR5A1	219982
924	KRTHB4	3890
925	3-OST-3A	9955
926	CT24.2	389903|102723547
927	TMPRSS13	84000
928	ZBTB39	9880
929	LSP1P3	729862
930	BP22	474197
931	RPL7_11_720	643906
932	OR2U1P	26695
933	LOC105375842	105375842
934	hVPS16	64601
935	DKKL1P1	128848
936	NRN1	51299
937	MMGT1	93380
938	MADER	4665
939	BHC	7080
940	LOC105370559	105370559
941	TNRC9	27324
942	HOXA9	3205
943	HSPA4	3308
944	HOX1@	3197
945	LOH11CR1I	23235
946	TRNAG11	100189064
947	GRWD	83743
948	LOC105370948	105370948
949	HEL97	29960
950	MMA	23531
951	K2p2.1	3776
952	RN7SKP224	106480902
953	p120-PI3K	5294
954	LEC	6360
955	H4/d	8362
956	bHLHa17	6886
957	FRG1-DT	728339
958	KIAA0040	9674
959	HVRP1	123591
960	LOC100286922	100286922
961	VDAC2P2	643996
962	WASF2	10163
963	Lea1	6627
964	GLULP4	392305
965	LOC111982876	111982876
966	ZNF264	9422
967	NUP84	57122
968	ABCB8	11194
969	LOC107987057	107987057
970	IMPDH1	3614|727833
971	GLUTX	56606
972	CLCRG1	1179
973	hISPD	729920
974	LINC00426	100188949
975	LOC105378691	105378691
976	GFPT2	9945
977	LOC105378390	105378390
978	PEG3-AS1	100169890
979	LOC107987392	107987392
980	JAM3	83700
981	VATI	10493
982	LOC112268467	112268467
983	bA121O19.1	10208
984	LTC4S	4056
985	RPS2P22	100270861
986	LOC105373529	105373529
987	CRP1	1053|1396|1465
988	ATP6H	8992
989	ACPD	9455
990	PABPC1P3	26978
991	SPDYE16	102723555
992	EIF4EP1	1980
993	SEDLP5	27193
994	RPS2_4_428	100270859
995	LOC107984544	107984544
996	CF6	522
997	CT72	57119|83983
998	p24a2	54732
999	TEX44	165100
1000	LOC647086	647086
1001	LOC105370680	105370680
1002	MCA-32	284021
1003	IGKV1OR2-3	28866
1004	ANIA6A	57018
1005	PSMD14	10213
1006	FLICE2	843
1007	RBMY2UP	379009
1008	2810403B08Rik	79598
1009	pshsp47	158172
1010	CD2BP1S	9051
1011	FAM80C	54031
1012	SPAG4	6676
1013	TAS2R8	50836
1014	TCP1ETA	10574
1015	OR5AP1P	81223
1016	PMS2L12	392713
1017	DKELCHL	56062
1018	HBII-52-43	100033817
1019	AIF1	199
1020	DSCR1L1	10231
1021	ZFYVE22	115825
1022	AIRE	326
1023	KAP4.7	100132476|100996750
1024	LOC101928263	101928263
1025	CHL1	1663|10752
1026	GALNT5	11227
1027	LIG4	3981
1028	AIB3	23054|497657
1029	LOC101927787	101927787
1030	PAP-alpha	10914
1031	VN1R73P	100312818
1032	LYRM8	644096
1033	FAM39CP	374677
1034	LOC105370090	105370090
1035	FTH1P4	2499
1036	p41	5594
1037	S3	5709|6188|107228318
1038	Shq1p	55164
1039	OR4K15Q	81127
1040	SYNCOILIN	81493
1041	BKL	152831
1042	HSP60P2	645808
1043	MIRN584	693169
1044	LOC105375377	105375377
1045	LOC105374620	105374620
1046	SH3BP5	9467
1047	CMM5	4157
1048	psiHSP40	171221
1049	HBII-52-28	100036565
1050	CFTRP1	140871
1051	RNF159	84333
1052	RPS4X_2_555	391777
1053	MSTP021	51340
1054	DFNB105	8556
1055	RNU7-181P	106479093
1056	LOC105377364	105377364
1057	MDFPMR	8925
1058	RPL23A_35_1661	390949
1059	MCSP	1464|2879|4184
1060	FANCD2P2	101929530
1061	MG29	284612
1062	OR5AL2P	79476
1063	CSDE1	7812
1064	CPCMR	4212
1065	K-OR-1	4986
1066	LOC105373933	105373933
1067	LOC105374660	105374660
1068	SEC14L1P1	729799
1069	GA733-1	4070
1070	PRKM4	5596
1071	TRT1	7236
1072	THM1	79809
1073	MCT11	162515
1074	MAAT1	10573
1075	RNF49	330
1076	C14orf148	122945
1077	MLSTD2	84188
1078	TICAM1	148022
1079	Car2	760
1080	HNRNPCP3	646956
1081	DLL1	28514
1082	RAG-2	5897
1083	ZNT1	7779
1084	MACF	23499
1085	CGTHBA	8131
1086	FAM215B	644297
1087	LOC729558	729558
1088	CTEPH1	100302516
1089	CRNDEP	643911
1090	GRACILE	617
1091	HNRNPA1P55	642958
1092	SNORD70A	692110
1093	RILPL1	353116
1094	NBR1	4077
1095	EI24P2	100129866
1096	NBLST7	107181289
1097	PEP3	57617
1098	MED4-AS1	100873965
1099	METTL21EP	121952
1100	S100A8	6279
1101	LOC105374851	105374851
1102	CHTD5	140628
1103	CRABP-II	1382|5948
1104	NUDT9P1	119369
1105	BCL-B	10017
1106	DOLK	22845
1107	HPS4	89781
1108	LOC105378991	105378991
1109	XPNPEPL1	7511
1110	DCLRE1CP1	105376432
1111	LINC00337	148645
1112	LOC101927543	101927543
1113	HAPLN3	145864
1114	MIR323A	442897
1115	BAF190A	6597
1116	UDPGTH3	7366
1117	MRIP2	119016
1118	GLAST	6507
1119	LOC105369168	105369168
1120	LHFPL1	340596
1121	RPL29_2_63	646417
1122	IER2	9592
1123	CMAP	8530
1124	MIR103B1	100302238
1125	LOC105378469	105378469
1126	MBD3L3	653657
1127	SEMAH	9723
1128	NAGCT2	2650
1129	CHL1-AS1	101927193
1130	bA350J20.1	348995
1131	LOC107985124	107985124
1132	CGI-17	53918
1133	OTF4	5460
1134	SLC21A6	10599
1135	WASH1	100287171
1136	KLHL27	3652
1137	hN-CoR	9611
1138	TRP-AGG2-8	100189276|100189296
1139	WBP15	55114
1140	DGKK	139189
1141	SEMA3G	56920
1142	RPL37_7_1538	100271341
1143	CCDC37-AS1	100506907
1144	RBM26-AS1	100505538
1145	FUSSEL15	390598
1146	ZNF75BP	7628
1147	hsa-mir-497	574456
1148	OR10K2	391107
1149	LOC105377261	105377261
1150	CT455	441521
1151	C1orf95	375057
